open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
272.34,275.43,272.2,273.81,17910600.0,275.43,272.195,273.81,272.34,17910574.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-24 00:00:00+00:00
270.84,272.45,269.56,272.36,29357314.0,272.5,269.56,272.36,270.84,29641999.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-23 00:00:00+00:00
272.86,273.88,270.505,270.97,36445199.0,273.88,270.505,270.97,272.86,36571827.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-22 00:00:00+00:00
272.145,274.5763,269.9,273.67,111198501.0,274.6,269.9,273.67,272.145,144632048.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-19 00:00:00+00:00
273.605,273.62,266.96,272.19,51509672.0,273.63,266.95,272.19,273.605,51630721.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-18 00:00:00+00:00
275.01,276.16,271.69,271.84,49406521.0,276.16,271.64,271.84,275.01,50138743.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-17 00:00:00+00:00
272.82,275.5,271.79,274.61,37339504.0,275.5,271.79,274.61,272.82,37648628.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-16 00:00:00+00:00
280.02,280.05,272.84,274.11,49752479.0,280.15,272.84,274.11,280.15,50409078.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-15 00:00:00+00:00
277.795,279.22,276.82,278.28,38360082.0,279.22,276.82,278.28,277.9,39532887.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-12 00:00:00+00:00
279.095,279.58,273.81,278.03,30285187.0,279.59,273.81,278.03,279.095,33247986.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-11 00:00:00+00:00
277.87,279.75,276.44,278.78,31806647.0,279.75,276.44,278.78,277.75,33038318.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-10 00:00:00+00:00
278.16,280.03,276.92,277.18,31711233.0,280.03,276.92,277.18,278.16,31753410.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-09 00:00:00+00:00
278.1685,279.6693,276.15,277.89,35028165.0,279.6693,276.15,277.89,278.13,36406317.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-08 00:00:00+00:00
280.54,281.14,278.05,278.78,45584026.0,281.14,278.05,278.78,280.54,47265845.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-05 00:00:00+00:00
284.095,284.73,278.59,280.7,42680947.0,284.73,278.59,280.7,284.095,43989056.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-04 00:00:00+00:00
286.2,288.61,283.54,284.15,38438153.0,288.62,283.3,284.15,286.2,43538687.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-03 00:00:00+00:00
283.0,287.4,282.63,286.19,53615500.0,287.4,282.6301,286.19,283.0,53669532.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-02 00:00:00+00:00
278.01,283.42,276.14,283.1,46528400.0,283.42,276.14,283.1,278.01,46587722.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-12-01 00:00:00+00:00
277.26,279.0,275.9865,278.85,19033072.0,279.0,275.9865,278.85,277.26,20135620.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-28 00:00:00+00:00
276.96,279.53,276.63,277.55,33431400.0,279.53,276.63,277.55,276.96,33431423.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-26 00:00:00+00:00
275.27,280.38,275.25,276.97,46888700.0,280.38,275.25,276.97,275.27,46914220.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-25 00:00:00+00:00
270.9,276.98,270.9,275.92,61882174.0,277.0,270.9,275.92,270.9,65585796.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-24 00:00:00+00:00
265.88,273.315,265.82,271.49,55524271.0,273.33,265.67,271.49,265.95,59030832.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-21 00:00:00+00:00
270.81,275.43,265.92,266.25,43720835.0,275.43,265.92,266.25,270.83,45823568.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-20 00:00:00+00:00
265.525,272.21,265.5,268.56,35871303.0,272.21,265.5,268.56,265.525,40424492.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-19 00:00:00+00:00
269.915,270.705,265.32,267.44,43692217.0,270.71,265.32,267.44,269.99,45677278.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-18 00:00:00+00:00
268.72,270.49,265.73,267.46,44918325.0,270.49,265.73,267.46,268.815,45018260.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-17 00:00:00+00:00
271.05,275.96,269.6,272.41,47399300.0,275.96,269.6,272.41,271.05,47431331.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-14 00:00:00+00:00
274.11,276.7,272.09,272.95,49565800.0,276.699,272.09,272.95,274.11,49602794.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-13 00:00:00+00:00
275.075,275.73,271.87,273.47,48058755.0,275.73,271.7,273.47,275.0,48397982.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-12 00:00:00+00:00
269.81,275.845,269.8,275.25,45848160.0,275.91,269.8,275.25,269.81,46208318.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-11 00:00:00+00:00
268.96,273.73,267.46,269.43,41282100.0,273.73,267.455,269.43,268.96,41312412.0,1.0,0.26,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-10 00:00:00+00:00
269.795,272.29,266.78,268.47,45140079.0,272.29,266.77,268.47,269.795,48227365.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-07 00:00:00+00:00
267.89,273.4,267.89,269.77,45608876.0,273.4,267.89,269.77,267.89,51204045.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-06 00:00:00+00:00
268.59,271.7,266.93,270.14,40379287.0,271.7,266.93,270.14,268.61,42586288.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-05 00:00:00+00:00
268.2425,271.486,267.615,270.04,49104660.0,271.486,267.615,270.04,268.325,49274846.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-04 00:00:00+00:00
270.42,270.85,266.25,269.05,48150989.0,270.85,266.25,269.05,270.42,50194583.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-11-03 00:00:00+00:00
276.99,277.32,269.16,270.37,86096700.0,277.32,269.16,270.37,276.99,86167123.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-31 00:00:00+00:00
271.99,274.14,268.48,271.4,68953200.0,274.14,268.48,271.4,271.99,69886534.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-30 00:00:00+00:00
269.28,271.41,267.11,269.7,50984000.0,271.41,267.11,269.7,269.275,51086742.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-29 00:00:00+00:00
268.99,269.89,268.15,269.0,41461500.0,269.89,268.15,269.0,268.985,41534759.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-28 00:00:00+00:00
264.88,269.12,264.65,268.81,44701700.0,269.12,264.6501,268.81,264.88,44888152.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-27 00:00:00+00:00
261.19,264.13,259.18,262.82,38221700.0,264.13,259.18,262.82,261.19,38253717.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-24 00:00:00+00:00
259.94,260.62,258.01,259.58,32647300.0,260.62,258.0101,259.58,259.94,32754941.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-23 00:00:00+00:00
262.65,262.85,255.43,258.45,44954300.0,262.85,255.43,258.45,262.65,45015254.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-22 00:00:00+00:00
261.88,265.29,261.83,262.77,46659000.0,265.29,261.83,262.77,261.88,46695948.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-21 00:00:00+00:00
255.89,264.38,255.63,262.24,90370300.0,264.375,255.63,262.24,255.885,90483029.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-20 00:00:00+00:00
248.02,253.38,247.27,252.29,48876500.0,253.38,247.27,252.29,248.02,49146961.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-17 00:00:00+00:00
248.25,249.04,245.13,247.45,39698000.0,249.04,245.13,247.45,248.25,39776974.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-16 00:00:00+00:00
249.49,251.82,247.47,249.34,33839800.0,251.82,247.47,249.34,249.485,33893611.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-15 00:00:00+00:00
246.6,248.85,244.7,247.77,35447900.0,248.845,244.7,247.77,246.6,35477986.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-14 00:00:00+00:00
249.38,249.69,245.56,247.66,38104400.0,249.69,245.56,247.66,249.38,38142942.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-13 00:00:00+00:00
254.94,256.38,244.0,245.27,61782400.0,256.38,244.0,245.27,254.94,61999098.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-10 00:00:00+00:00
257.81,258.0,253.14,254.04,38270200.0,258.0,253.14,254.04,257.805,38322012.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-09 00:00:00+00:00
256.52,258.52,256.11,258.06,36465000.0,258.52,256.11,258.06,256.52,36496895.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-08 00:00:00+00:00
256.81,257.4,255.43,256.48,31923700.0,257.4,255.43,256.48,256.805,31955776.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-07 00:00:00+00:00
257.99,259.07,255.05,256.69,44292200.0,259.07,255.05,256.69,257.99,44664118.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-06 00:00:00+00:00
